period,respondent,respondent-name,type,type-name,value,value-units
2024-05-26T18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,72389,megawatthours
2024-05-26T18,PJM,"PJM Interconnection, LLC",D,Demand,99095,megawatthours
2024-05-26T17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,70559,megawatthours
2024-05-26T17,PJM,"PJM Interconnection, LLC",D,Demand,96181,megawatthours
2024-05-26T16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,68091,megawatthours
2024-05-26T16,PJM,"PJM Interconnection, LLC",D,Demand,92110,megawatthours
2024-05-26T15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,65547,megawatthours
2024-05-26T15,PJM,"PJM Interconnection, LLC",D,Demand,87698,megawatthours
2024-05-26T14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,62965,megawatthours
2024-05-26T14,PJM,"PJM Interconnection, LLC",D,Demand,83616,megawatthours
2024-05-26T13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60798,megawatthours
2024-05-26T13,PJM,"PJM Interconnection, LLC",D,Demand,78740,megawatthours
2024-05-26T12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59116,megawatthours
2024-05-26T12,PJM,"PJM Interconnection, LLC",D,Demand,75134,megawatthours
2024-05-26T11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59512,megawatthours
2024-05-26T11,PJM,"PJM Interconnection, LLC",D,Demand,72860,megawatthours
2024-05-26T10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59893,megawatthours
2024-05-26T10,PJM,"PJM Interconnection, LLC",D,Demand,73162,megawatthours
2024-05-26T09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60549,megawatthours
2024-05-26T09,PJM,"PJM Interconnection, LLC",D,Demand,73553,megawatthours
2024-05-26T08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,61249,megawatthours
2024-05-26T08,PJM,"PJM Interconnection, LLC",D,Demand,74734,megawatthours
2024-05-26T07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,62362,megawatthours
2024-05-26T07,PJM,"PJM Interconnection, LLC",D,Demand,76760,megawatthours
2024-05-26T06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,64123,megawatthours
2024-05-26T06,PJM,"PJM Interconnection, LLC",D,Demand,78959,megawatthours
2024-05-26T05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,66669,megawatthours
2024-05-26T05,PJM,"PJM Interconnection, LLC",D,Demand,82002,megawatthours
2024-05-26T04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,69587,megawatthours
2024-05-26T04,PJM,"PJM Interconnection, LLC",D,Demand,85809,megawatthours
2024-05-26T03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,73190,megawatthours
2024-05-26T03,PJM,"PJM Interconnection, LLC",D,Demand,90814,megawatthours
2024-05-26T02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,75501,megawatthours
2024-05-26T02,PJM,"PJM Interconnection, LLC",D,Demand,96016,megawatthours
2024-05-26T01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,77804,megawatthours
2024-05-26T01,PJM,"PJM Interconnection, LLC",D,Demand,99435,megawatthours
2024-05-26T00,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,80187,megawatthours
2024-05-26T00,PJM,"PJM Interconnection, LLC",D,Demand,103022,megawatthours
2024-05-25T23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,81041,megawatthours
2024-05-25T23,PJM,"PJM Interconnection, LLC",D,Demand,105993,megawatthours
2024-05-25T22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,80474,megawatthours
2024-05-25T22,PJM,"PJM Interconnection, LLC",D,Demand,107091,megawatthours
2024-05-25T21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,78874,megawatthours
2024-05-25T21,PJM,"PJM Interconnection, LLC",D,Demand,106056,megawatthours
2024-05-25T20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,77038,megawatthours
2024-05-25T20,PJM,"PJM Interconnection, LLC",D,Demand,103858,megawatthours
2024-05-25T19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,75146,megawatthours
2024-05-25T19,PJM,"PJM Interconnection, LLC",D,Demand,101413,megawatthours
2024-05-25T18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,73184,megawatthours
2024-05-25T18,PJM,"PJM Interconnection, LLC",D,Demand,98929,megawatthours
2024-05-25T17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,71128,megawatthours
2024-05-25T17,PJM,"PJM Interconnection, LLC",D,Demand,95683,megawatthours
2024-05-25T16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,68894,megawatthours
2024-05-25T16,PJM,"PJM Interconnection, LLC",D,Demand,92297,megawatthours
2024-05-25T15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,66401,megawatthours
2024-05-25T15,PJM,"PJM Interconnection, LLC",D,Demand,88068,megawatthours
